Date,KS200,Gold_x,REMX,AAPL,TSMC,USD/KRW,Gold_y
2021-10-27,395.48,1804.2,115.07,148.85,113.75,1172.05,67290
2021-10-28,393.89,1808.0,115.35,152.57,116.01,1168.44,67750
2021-10-29,388.47,1789.1,118.17,149.8,113.7,1174.47,67450
2021-11-01,389.81,1801.0,117.17,148.96,114.12,1177.45,67450
2021-11-02,394.82,1794.4,114.63,150.02,114.11,1178.48,67760
2021-11-03,389.48,1768.9,116.3,151.49,114.01,1178.78,67620
2021-11-04,391.54,1798.6,118.21,150.96,117.79,1185.75,67400
2021-11-05,389.86,1822.0,118.96,151.28,117.8,1181.05,68460
2021-11-08,389.59,1833.3,123.23,150.44,120.91,1180.84,69130
2021-11-09,390.36,1836.0,121.11,150.81,121.78,1178.4,69020
2021-11-10,386.24,1853.5,116.01,147.92,118.2,1185.04,69280
2021-11-11,385.97,1869.1,118.9,147.87,118.19,1182.39,70330
2021-11-12,390.38,1873.7,119.85,149.99,118.69,1179.2,70460
2021-11-15,394.36,1872.2,117.87,150.0,118.12,1183.42,70380
2021-11-16,394.07,1859.7,114.67,151.0,118.08,1183.85,70780
2021-11-17,389.44,1875.9,116.07,153.49,119.06,1180.46,70520
2021-11-18,387.44,1867.1,115.92,157.87,123.39,1182.37,70730
2021-11-19,390.53,1857.6,117.4,160.55,124.26,1187.1,70920
2021-11-22,399.07,1812.7,119.72,161.02,124.75,1190.08,70240
2021-11-23,396.44,1790.0,119.01,161.41,121.36,1189.08,69030
2021-11-24,395.4,1790.5,123.94,161.94,120.71,1188.77,68430
2021-11-26,385.07,1791.6,120.27,156.81,117.09,1194.43,69140
2021-11-29,381.63,1788.9,124.63,160.24,119.28,1190.69,68850
2021-11-30,373.24,1780.1,122.87,165.3,117.15,1182.71,68460
2021-12-01,383.13,1788.1,119.4,164.77,120.63,1176.93,67800
2021-12-02,389.64,1766.6,120.51,163.76,121.7,1176.74,67220
2021-12-03,391.96,1787.7,114.94,161.84,119.33,1181.0,67260
