Date,Close,Open,High,Low,Volume,Change
2021-09-17,410.99,408.9,411.36,407.07,165790000.0,0.0043
2021-09-23,410.46,409.04,410.92,407.39,164540000.0,-0.0013
2021-09-24,409.84,412.01,412.8,409.09,153820000.0,-0.0015
2021-09-27,410.97,409.28,412.72,408.97,153140000.0,0.0028000000000000004
2021-09-28,406.2,410.74,411.1,405.79,175590000.0,-0.0116
2021-09-29,400.09,400.44,402.28,396.78,180580000.0,-0.015
2021-09-30,401.3,399.41,402.9,397.98,182820000.0,0.003
2021-10-01,394.79,399.53,400.52,394.14,155620000.0,-0.016200000000000003
2021-10-05,388.01,391.95,392.02,384.92,202460000.0,-0.0172
2021-10-06,381.93,391.01,392.37,381.93,229530000.0,-0.015700000000000002
2021-10-07,388.14,385.87,388.78,384.59,173710000.0,0.0163
2021-10-08,387.42,390.42,390.7,386.54,150220000.0,-0.0019
2021-10-12,380.69,386.27,386.6,379.08,158570000.0,-0.0174
2021-10-13,384.1,380.12,385.72,379.31,154270000.0,0.009000000000000001
2021-10-14,389.59,387.39,389.63,386.48,170130000.0,0.0143
2021-10-15,393.19,392.94,394.58,391.36,170780000.0,0.0092
2021-10-18,392.02,393.39,394.16,389.74,126680000.0,-0.003
2021-10-19,395.41,394.26,395.92,393.27,113850000.0,0.0086
2021-10-20,393.74,397.48,398.09,393.6,129250000.0,-0.0042
2021-10-21,393.18,393.56,395.51,392.38,136380000.0,-0.0014000000000000002
2021-10-22,393.34,392.82,394.91,391.54,108300000.0,0.0004
2021-10-25,395.01,392.45,395.99,390.02,152060000.0,0.0042
2021-10-26,399.07,397.75,399.67,396.28,135400000.0,0.0103
2021-10-27,395.48,398.31,398.82,394.41,193850000.0,-0.009000000000000001
2021-10-28,393.89,394.87,397.79,393.89,180650000.0,-0.004
2021-10-29,388.47,396.08,396.92,387.82,146470000.0,-0.0138
2021-11-01,389.81,390.34,391.65,389.14,121440000.0,0.0034000000000000002
2021-11-02,394.82,392.18,398.1,392.18,126750000.0,0.0129
2021-11-03,389.48,395.73,395.85,388.52,137220000.0,-0.013500000000000002
2021-11-04,391.54,393.16,395.15,390.75,185410000.0,0.0053
2021-11-05,389.86,394.65,394.81,387.66,139110000.0,-0.0043
2021-11-08,389.59,390.1,390.71,385.5,126070000.0,-0.0007000000000000001
2021-11-09,390.36,389.17,393.13,388.25,127590000.0,0.002
2021-11-10,386.24,388.37,390.36,385.57,117560000.0,-0.0106
2021-11-11,385.97,383.84,386.03,382.57,212910000.0,-0.0007000000000000001
2021-11-12,390.38,389.13,391.77,387.46,166340000.0,0.011399999999999999
2021-11-15,394.36,393.36,395.56,392.16,174940000.0,0.0102
2021-11-16,394.07,393.94,396.49,392.62,134390000.0,-0.0007000000000000001
2021-11-17,389.44,394.88,395.25,388.7,146330000.0,-0.011699999999999999
2021-11-18,387.44,388.86,390.0,386.31,130470000.0,-0.0051
2021-11-19,390.53,387.97,391.24,387.31,130759999.99999999,0.008
2021-11-22,399.07,393.16,399.88,392.75,144700000.0,0.0219
2021-11-23,396.44,399.43,399.52,395.58,124510000.0,-0.0066
2021-11-24,395.4,397.88,399.38,393.27,128289999.99999999,-0.0026
